,Company Name,Job Title,Salaries Reported,Location,Salary,,,
0,Mu Sigma,Data Scientist,105,Bangalore,648573,,,
1,IBM,Data Scientist,95,Bangalore,1191950,,,
2,Tata Consultancy Services,Data Scientist,66,Bangalore,836874,,,
3,Impact Analytics,Data Scientist,40,Bangalore,669578,,,
4,Accenture,Data Scientist,32,Bangalore,944110,,,
5,Infosys,Data Scientist,30,Bangalore,908764,,mean =,705942.6014
6,Capgemini,Data Scientist,28,Bangalore,926124,,Variance = ,706087367126
7,Cognizant Technology Solutions,Data Scientist,26,Bangalore,736708,,S.Dev = ,840290.0494
8,Anheuser-Busch InBev,Data Scientist,25,Bangalore,1646721,,Lambda=,0.000001416545762
9,Fractal,Data Scientist,22,Bangalore,1392960,,,
10,Embibe,Data Scientist,20,Bangalore,1404773,,F(100000) = ,0.2354205373
11,Flipkart,Data Scientist,18,Bangalore,2557843,,F(500000) = ,0.4031952557
12,HP Inc.,Data Scientist,16,Bangalore,1510081,,F(1000000) = ,0.6368109493
13,Wipro,Data Scientist,15,Bangalore,732821,,F(2000000) = ,0.9382213785
14,Deloitte,Data Scientist,14,Bangalore,1124939,,F(3000000) = ,0.9968340331
15,Microsoft,Data Scientist,14,Bangalore,1630396,,F(4000000) = ,0.9999557518
16,Fresher,Data Scientist,14,Bangalore,550980,,F(5000000) = ,0.9999998391
17,Société Générale,Data Scientist,13,Bangalore,1870000,,,
18,Flutura,Data Scientist,13,Bangalore,758376,,,
19,Fuzzy Logix,Data Scientist,13,Bangalore,1556575,,,
20,DXC Technology,Data Scientist,12,Bangalore,1194327,,,
21,Jio,Data Scientist,11,Bangalore,1470000,,,
22,Honeywell,Data Scientist,10,Bangalore,1549942,,,
23,Philips,Data Scientist,9,Bangalore,1541572,,,
24,Antuit,Data Scientist,9,Bangalore,205,,,
25,Nielsen,Data Scientist,9,Bangalore,27,,,
26,[24]7.ai,Data Scientist,9,Bangalore,1923257,,,
27,Fidelity Investments,Data Scientist,9,Bangalore,2143501,,,
28,Myntra,Data Scientist,9,Bangalore,926,,,
29,Oracle,Data Scientist,8,Bangalore,1294984,,,
30,Ola,Data Scientist,8,Bangalore,2334960,,,
31,Walmart Global Tech,Data Scientist,8,Bangalore,2267616,,,
32,Tredence,Data Scientist,8,Bangalore,1366992,,,
33,Intel Corporation,Data Scientist,8,Bangalore,1453427,,,
34,Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,1458032,,,
35,SAP,Data Scientist,8,Bangalore,1730166,,,
36,Wipro Technologies,Data Scientist,8,Bangalore,658109,,,
37,Thoucentric,Data Scientist,8,Bangalore,794460,,,
38,Walmart,Data Scientist,8,Bangalore,2567381,,,
39,Brillio,Data Scientist,8,Bangalore,1637231,,,
40,Gramener,Data Scientist,7,Bangalore,902935,,,
41,HCL Technologies,Data Scientist,7,Bangalore,970782,,,
42,Happiest Minds Technologies,Data Scientist,7,Bangalore,50,,,
43,Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,2119584,,,
44,Cisco Systems,Data Scientist,7,Bangalore,465,,,
45,Adobe,Data Scientist,6,Bangalore,2624063,,,
46,ABB,Data Scientist,6,Bangalore,955297,,,
47,EY,Data Scientist,6,Bangalore,761478,,,
48,Swiggy,Data Scientist,6,Bangalore,2805476,,,
49,Subex,Data Scientist,6,Bangalore,969112,,,
50,iNeuron,Data Scientist,6,Bangalore,450979,,,
51,ZS Associates,Data Scientist,6,Bangalore,1338795,,,
52,Robert Bosch India,Data Scientist,6,Bangalore,1040493,,,
53,Scienaptic Systems,Data Scientist,6,Bangalore,1291549,,,
54,FlyNava Technologies,Data Scientist,6,Bangalore,49928,,,
55,Nokia,Data Scientist,6,Bangalore,1663189,,,
56,UnitedHealth Group,Data Scientist,6,Bangalore,1323387,,,
57,Sigmoid Analytics,Data Scientist,6,Bangalore,1246266,,,
58,Idexcel,Data Scientist,6,Bangalore,494147,,,
59,Citi,Data Scientist,5,Bangalore,1892758,,,
60,GE Healthcare,Data Scientist,5,Bangalore,1572054,,,
61,SigTuple,Data Scientist,5,Bangalore,2024533,,,
62,Dell Technologies,Data Scientist,5,Bangalore,1927564,,,
63,Aptus Data Labs,Data Scientist,5,Bangalore,831462,,,
64,UniQreate,Data Scientist,5,Bangalore,516323,,,
65,LinkedIn,Data Scientist,5,Bangalore,2333241,,,
66,Shadowfax Technologies,Data Scientist,5,Bangalore,2006522,,,
67,Bharti Airtel,Data Scientist,5,Bangalore,2160000,,,
68,Applied Materials,Data Scientist,5,Bangalore,1341316,,,
69,FICO,Data Scientist,5,Bangalore,1634105,,,
70,YouPlus,Data Scientist,5,Bangalore,1389256,,,
71,Target,Data Scientist,5,Bangalore,1231116,,,
72,Gojek,Data Scientist,5,Bangalore,2352941,,,
73,Blueocean Market Intelligence,Data Scientist,5,Bangalore,744551,,,
74,CRED,Data Scientist,5,Bangalore,3014686,,,
75,Rolls-Royce,Data Scientist,5,Bangalore,1357204,,,
76,Curl Analytics,Data Scientist,4,Bangalore,1053196,,,
77,J.P. Morgan,Data Scientist,4,Bangalore,1337606,,,
78,Knowledge Lens,Data Scientist,4,Bangalore,48825,,,
79,IBM,Data Scientist,4,Bangalore,32953,,,
80,ascena,Data Scientist,4,Bangalore,1649930,,,
81,QuantZig,Data Scientist,4,Bangalore,1138060,,,
82,Baker Hughes,Data Scientist,4,Bangalore,1612744,,,
83,Everlytics,Data Scientist,4,Bangalore,432776,,,
84,Siemens,Data Scientist,4,Bangalore,987471,,,
85,ANZ Bank,Data Scientist,4,Bangalore,1512297,,,
86,Lowe's Home Improvement,Data Scientist,4,Bangalore,1752935,,,
87,Nones,Data Scientist,4,Bangalore,1197944,,,
88,Bristlecone,Data Scientist,4,Bangalore,76962,,,
89,Altimetrik,Data Scientist,4,Bangalore,587146,,,
90,Head Digital Works,Data Scientist,4,Bangalore,977543,,,
91,Artivatic Data Labs,Data Scientist,4,Bangalore,649755,,,
92,HDFC Standard Life Insurance,Data Scientist,4,Bangalore,1177531,,,
93,AntWorks,Data Scientist,4,Bangalore,1194925,,,
94,American Express,Data Scientist,4,Bangalore,1693208,,,
95,ITC Infotech,Data Scientist,4,Bangalore,414817,,,
96,Aidetic,Data Scientist,4,Bangalore,704193,,,
97,NeenOpal,Data Scientist,4,Bangalore,590000,,,
98,Knowledge Foundry,Data Scientist,4,Bangalore,1119069,,,
99,Mindtree,Data Scientist,4,Bangalore,669225,,,
100,XYZ,Data Scientist,3,Bangalore,840000,,,
101,ShieldSquare,Data Scientist,3,Bangalore,761610,,,
102,Publicis Sapient,Data Scientist,3,Bangalore,1670405,,,
103,GE Digital,Data Scientist,3,Bangalore,1653106,,,
104,GlobusSoft,Data Scientist,3,Bangalore,385393,,,
105,Dailyhunt,Data Scientist,3,Bangalore,2600000,,,
106,Draup,Data Scientist,3,Bangalore,1859109,,,
107,SwitchOn,Data Scientist,3,Bangalore,669785,,,
108,PwC,Data Scientist,3,Bangalore,205,,,
109,Robert Bosch,Data Scientist,3,Bangalore,1180355,,,
110,Two Roads Tech,Data Scientist,3,Bangalore,3812913,,,
111,ExxonMobil,Data Scientist,3,Bangalore,2873437,,,
112,IQVIA,Data Scientist,3,Bangalore,899123,,,
113,Course5 Intelligence,Data Scientist,3,Bangalore,825077,,,
114,MAERSK,Data Scientist,3,Bangalore,207,,,
115,Caterpillar,Data Scientist,3,Bangalore,1526335,,,
116,NetApp,Data Scientist,3,Bangalore,2875549,,,
117,Exposys Data Labs,Data Scientist,3,Bangalore,36120,,,
118,Spoonshot,Data Scientist,3,Bangalore,1615535,,,
119,Swiss Re,Data Scientist,3,Bangalore,1352802,,,
120,Shell,Data Scientist,3,Bangalore,148,,,
121,Flip Robo,Data Scientist,3,Bangalore,25581,,,
122,HCL,Data Scientist,3,Bangalore,347924,,,
123,HDFC Bank,Data Scientist,3,Bangalore,105,,,
124,Halodoc,Data Scientist,3,Bangalore,1879205,,,
125,PayPal,Data Scientist,3,Bangalore,273000,,,
126,GE,Data Scientist,3,Bangalore,1007628,,,
127,Manthan,Data Scientist,3,Bangalore,1254416,,,
128,Visa Inc.,Data Scientist,3,Bangalore,324000,,,
129,Data Semantics,Data Scientist,3,Bangalore,362209,,,
130,GE Aviation,Data Scientist,3,Bangalore,349,,,
131,Neustar,Data Scientist,3,Bangalore,1923665,,,
132,Axis Bank,Data Scientist,3,Bangalore,1171687,,,
133,Mercedes-Benz International,Data Scientist,2,Bangalore,93234,,,
134,Zoom Video Communications,Data Scientist,2,Bangalore,2839076,,,
135,Money View,Data Scientist,2,Bangalore,1438576,,,
136,nference,Data Scientist,2,Bangalore,1930235,,,
137,KrazyBee,Data Scientist,2,Bangalore,1149607,,,
138,Applied Materials,Data Scientist,2,Bangalore,1407768,,,
139,Mavenir,Data Scientist,2,Bangalore,961306,,,
140,Molecular Connections,Data Scientist,2,Bangalore,43047,,,
141,Yodlee,Data Scientist,2,Bangalore,2315641,,,
142,Locus,Data Scientist,2,Bangalore,2472920,,,
143,IVYTEL Technologies,Data Scientist,2,Bangalore,496798,,,
144,Sumyag,Data Scientist,2,Bangalore,64222,,,
145,Wabtec,Data Scientist,2,Bangalore,2420967,,,
146,VMware,Data Scientist,2,Bangalore,2079353,,,
147,Wipro Digital,Data Scientist,2,Bangalore,1207396,,,
148,Zycus,Data Scientist,2,Bangalore,75372,,,
149,Tyson Foods,Data Scientist,2,Bangalore,1825549,,,
150,OceanFrogs,Data Scientist,2,Bangalore,37004,,,
151,Lenovo,Data Scientist,2,Bangalore,1917242,,,
152,Tata,Data Scientist,2,Bangalore,1612292,,,
153,Simplilearn Solutions,Data Scientist,2,Bangalore,1587,,,
154,Dun & Bradstreet,Data Scientist,2,Bangalore,15169,,,
155,AlmaBetter,Data Scientist,2,Bangalore,729193,,,
156,CreditNirvana,Data Scientist,2,Bangalore,1245989,,,
